"","foo.cont","foo.e","foo.value"
"4538","Eritrea","Conflict.and.Terrorism",-277.68
"4516","Estonia","Cardiovascular.Diseases",-215.7
"4795","Denmark","Cardiovascular.Diseases",-197.21
"3307","Latvia","Cardiovascular.Diseases",-189.19
"4857","Czechia","Cardiovascular.Diseases",-182.3
"2160","Norway","Cardiovascular.Diseases",-154.01
"331","United Kingdom","Cardiovascular.Diseases",-151.13
"4268","Georgia","Cardiovascular.Diseases",-149.2
"2284","Niue","Cardiovascular.Diseases",-120.55
"427","Uganda","HIV.AIDS",-118.09
"2718","Monaco","Cardiovascular.Diseases",-110.2
"920","Sweden","Cardiovascular.Diseases",-105.13
"3865","Hungary","Cardiovascular.Diseases",-104.72
"4237","Germany","Cardiovascular.Diseases",-103.6
"1633","Saint Kitts and Nevis","Cardiovascular.Diseases",-93.9
"4555","Eritrea","Nutritional.Deficiencies",-93.71
"5670","Bhutan","Malaria",-92.58
"4534","Eritrea","Protein.Energy.Malnutrition",-91.42
"5661","Bhutan","Neonatal.Disorders",-88.77
"1658","Rwanda","Diarrheal.Diseases",-87.83
"3337","Laos","Lower.Respiratory.Infections",-85.97
"4541","Eritrea","Diarrheal.Diseases",-82.95
"1819","Portugal","Cardiovascular.Diseases",-82.94
"2557","Myanmar","Diarrheal.Diseases",-81.78
"6004","Austria","Cardiovascular.Diseases",-75.58
"2686","Mongolia","Lower.Respiratory.Infections",-75.34
"5383","Cambodia","Lower.Respiratory.Infections",-75.31
"3053","Malawi","Diarrheal.Diseases",-70.96
"3679","Ireland","Cardiovascular.Diseases",-70.75
"3066","Malawi","Malaria",-70.19
"4572","Equatorial Guinea","Diarrheal.Diseases",-69.69
"3205","Liberia","Conflict.and.Terrorism",-68.14
"4113","Grenada","Cardiovascular.Diseases",-66.63
"2469","Nepal","Lower.Respiratory.Infections",-64.23
"2562","Myanmar","Lower.Respiratory.Infections",-62.77
"6153","Angola","Diarrheal.Diseases",-62.46
"5878","Bangladesh","Neonatal.Disorders",-61.29
"2268","Niue","Cirrhosis.and.Other.Chronic.Liver.Diseases",-60.28
"2282","Niue","Neonatal.Disorders",-60.28
"2294","Niue","Alzheimer.s.Disease.and.Other.Dementias",-60.28
"2269","Niue","Chronic.Respiratory.Diseases",-60.27
"6282","Albania","Lower.Respiratory.Infections",-59.42
"5972","Azerbaijan","Lower.Respiratory.Infections",-59.21
"485","Turkmenistan","Lower.Respiratory.Infections",-58.14
"702","Timor","Lower.Respiratory.Infections",-57.3
"4200","Ghana","Diarrheal.Diseases",-57.09
"2464","Nepal","Diarrheal.Diseases",-56.07
"1671","Rwanda","Malaria",-55.63
"2588","Mozambique","Diarrheal.Diseases",-55.58
"5787","Belgium","Cardiovascular.Diseases",-54.49
"2468","Nepal","Neonatal.Disorders",-54.42
"4950","Croatia","Cardiovascular.Diseases",-54.09
"3956","Guyana","Neonatal.Disorders",-53.9
"3121","Luxembourg","Cardiovascular.Diseases",-53.81
"453","Tuvalu","Neonatal.Disorders",-53.55
"626","Tokelau","Chronic.Respiratory.Diseases",-53.17
"641","Tokelau","Cardiovascular.Diseases",-53.17
"624","Tokelau","Digestive.Diseases",-53.16
"639","Tokelau","Neonatal.Disorders",-53.16
"640","Tokelau","Lower.Respiratory.Infections",-53.16
"3332","Laos","Diarrheal.Diseases",-52.98
"1083","South Sudan","Nutritional.Deficiencies",-51.86
"1850","Poland","Cardiovascular.Diseases",-51.86
"4453","Ethiopia","Lower.Respiratory.Infections",-51.66
"856","Syria","Neonatal.Disorders",-51.18
"1062","South Sudan","Protein.Energy.Malnutrition",-50.53
"3739","Iran","Neonatal.Disorders",-50.32
"2439","Netherlands","Cardiovascular.Diseases",-49.76
"378","Ukraine","Chronic.Respiratory.Diseases",-49.53
"5422","Burundi","Malaria",-49.44
"4448","Ethiopia","Diarrheal.Diseases",-49.41
"3921","Haiti","Diarrheal.Diseases",-49.26
"5874","Bangladesh","Diarrheal.Diseases",-48.27
"1663","Rwanda","Lower.Respiratory.Infections",-47.72
"2309","Nigeria","Diarrheal.Diseases",-46.68
"1317","Sierra Leone","Diarrheal.Diseases",-46.49
"795","Tajikistan","Lower.Respiratory.Infections",-46.28
"3336","Laos","Neonatal.Disorders",-45.83
"3736","Iran","Exposure.to.Forces.of.Nature",-45.79
"5879","Bangladesh","Lower.Respiratory.Infections",-45.24
"2251","North Korea","Neonatal.Disorders",-45.23
"2960","Mali","Diarrheal.Diseases",-44.88
"1472","Sao Tome and Principe","Diarrheal.Diseases",-44.82
"431","Uganda","Malaria",-44.64
"454","Tuvalu","Lower.Respiratory.Infections",-44.62
"5803","Belarus","Chronic.Respiratory.Diseases",-44.59
"515","Turkey","Neonatal.Disorders",-43.95
"1665","Rwanda","Tuberculosis",-43.62
"3213","Liberia","Lower.Respiratory.Infections",-43.06
"4045","Guatemala","Diarrheal.Diseases",-42.46
"4455","Ethiopia","Tuberculosis",-42.31
"5449","Burkina Faso","HIV.AIDS",-42.29
"3983","Guinea-Bissau","Diarrheal.Diseases",-41.84
"1410","Senegal","Diarrheal.Diseases",-41.73
"238","Uruguay","Cardiovascular.Diseases",-41.61
"5285","Cape Verde","Diarrheal.Diseases",-41.42
"2564","Myanmar","Tuberculosis",-41.36
"4445","Ethiopia","Conflict.and.Terrorism",-41.32
"3239","Lesotho","Diarrheal.Diseases",-41.22
"5662","Bhutan","Lower.Respiratory.Infections",-40.76
"3243","Lesotho","Neonatal.Disorders",-40.56
"77","Yemen","Diarrheal.Diseases",-39.94
"2561","Myanmar","Neonatal.Disorders",-39.67
"3208","Liberia","Diarrheal.Diseases",-39.33
"3293","Latvia","Road.Injuries",-39.27
"385","Ukraine","Neoplasms",-38.59
"3996","Guinea-Bissau","Malaria",-38.47
"5440","Burkina Faso","Diarrheal.Diseases",-38.38
"3368","Kyrgyzstan","Lower.Respiratory.Infections",-37.41
"2623","Morocco","Neonatal.Disorders",-37.3
"4014","Guinea","Diarrheal.Diseases",-37.03
"5888","Bangladesh","Nutritional.Deficiencies",-36.82
"1261","Slovakia","Cardiovascular.Diseases",-36.74
"546","Tunisia","Neonatal.Disorders",-36.67
"4607","El Salvador","Neonatal.Disorders",-36.29
"5103","Comoros","Neonatal.Disorders",-36.13
"3339","Laos","Tuberculosis",-35.97
"6064","Armenia","Neonatal.Disorders",-35.96
"3181","Libya","Neonatal.Disorders",-35.09
"980","Sudan","Neonatal.Disorders",-34.75
"976","Sudan","Diarrheal.Diseases",-34.2
"2867","Mauritania","Diarrheal.Diseases",-34.06
"5378","Cambodia","Diarrheal.Diseases",-33.93
"5099","Comoros","Diarrheal.Diseases",-33.65
"5867","Bangladesh","Protein.Energy.Malnutrition",-33.64
"2778","Micronesia","Neonatal.Disorders",-33.58
"1230","Slovenia","Cardiovascular.Diseases",-33.17
"5657","Bhutan","Diarrheal.Diseases",-33.15
"711","Timor","Nutritional.Deficiencies",-33.1
"4579","Equatorial Guinea","Tuberculosis",-33.01
"4603","El Salvador","Diarrheal.Diseases",-32.83
"3138","Lithuania","Road.Injuries",-32.75
"690","Timor","Protein.Energy.Malnutrition",-32.46
"2371","Nicaragua","Diarrheal.Diseases",-32.37
"4391","Finland","Lower.Respiratory.Infections",-32.18
"5476","Bulgaria","Lower.Respiratory.Infections",-32.14
"5112","Comoros","Malaria",-32.13
"4266","Georgia","Neonatal.Disorders",-31.94
"3797","India","Diarrheal.Diseases",-31.89
"4140","Greenland","Self.harm",-31.54
"4639","Egypt","Lower.Respiratory.Infections",-31.1
"1711","Romania","Chronic.Respiratory.Diseases",-31.02
"5418","Burundi","HIV.AIDS",-30.51
"5881","Bangladesh","Tuberculosis",-30.5
"4758","Djibouti","Diarrheal.Diseases",-30.28
"5631","Bolivia","Lower.Respiratory.Infections",-30.21
"2995","Maldives","Neonatal.Disorders",-30.12
"5382","Cambodia","Neonatal.Disorders",-30.02
"790","Tajikistan","Diarrheal.Diseases",-30.01
"51","Zambia","Lower.Respiratory.Infections",-29.65
"3801","India","Neonatal.Disorders",-29.46
"4049","Guatemala","Neonatal.Disorders",-29.39
"4267","Georgia","Lower.Respiratory.Infections",-29.24
"2619","Morocco","Diarrheal.Diseases",-28.97
"701","Timor","Neonatal.Disorders",-28.36
"3848","Hungary","Digestive.Diseases",-28.31
"4462","Ethiopia","Nutritional.Deficiencies",-28.17
"2601","Mozambique","Malaria",-28.09
"2375","Nicaragua","Neonatal.Disorders",-27.96
"5068","Congo","Diarrheal.Diseases",-27.57
"2340","Niger","Diarrheal.Diseases",-27.54
"1004","Sri Lanka","Conflict.and.Terrorism",-27.45
"4306","Gambia","Malaria",-27.37
"3391","Kuwait","Conflict.and.Terrorism",-27.12
"183","Vanuatu","Malaria",-27.11
"3766","Indonesia","Diarrheal.Diseases",-27.06
"3425","Kiribati","Diarrheal.Diseases",-26.96
"1074","South Sudan","Lower.Respiratory.Infections",-26.87
"1569","Saint Vincent and the Grenadines","Neonatal.Disorders",-26.79
"440","Tuvalu","Chronic.Respiratory.Diseases",-26.77
"4441","Ethiopia","Protein.Energy.Malnutrition",-26.7
"3058","Malawi","Lower.Respiratory.Infections",-26.65
"5104","Comoros","Lower.Respiratory.Infections",-26.61
"3137","Lithuania","Chronic.Respiratory.Diseases",-26.59
"4142","Greenland","Neonatal.Disorders",-26.29
"4634","Egypt","Diarrheal.Diseases",-26.28
"759","Tanzania","Diarrheal.Diseases",-26.28
"4502","Estonia","Road.Injuries",-26.11
"2220","North Macedonia","Neonatal.Disorders",-26.03
"4833","Democratic Republic of Congo","Malaria",-25.8
"2478","Nepal","Nutritional.Deficiencies",-25.67
"3988","Guinea-Bissau","Lower.Respiratory.Infections",-25.4
"5633","Bolivia","Tuberculosis",-25.32
"46","Zambia","Diarrheal.Diseases",-25.26
"1445","Saudi Arabia","Neonatal.Disorders",-25.15
"5166","China","Lower.Respiratory.Infections",-25.15
"3849","Hungary","Cirrhosis.and.Other.Chronic.Liver.Diseases",-25.13
"6167","Angola","Nutritional.Deficiencies",-25.12
"6281","Albania","Neonatal.Disorders",-25.07
"2734","Moldova","Chronic.Respiratory.Diseases",-25
"710","Timor","Malaria",-24.99
"1805","Portugal","Road.Injuries",-24.91
"5664","Bhutan","Tuberculosis",-24.89
"2471","Nepal","Tuberculosis",-24.81
"2685","Mongolia","Neonatal.Disorders",-24.8
"6146","Angola","Protein.Energy.Malnutrition",-24.63
"5537","Brazil","Neonatal.Disorders",-24.59
"1662","Rwanda","Neonatal.Disorders",-24.55
"2457","Nepal","Protein.Energy.Malnutrition",-24.19
"4019","Guinea","Lower.Respiratory.Infections",-24.1
"3861","Hungary","Self.harm",-24.08
"697","Timor","Diarrheal.Diseases",-23.98
"1910","Peru","Neonatal.Disorders",-23.97
"2252","North Korea","Lower.Respiratory.Infections",-23.75
"772","Tanzania","Malaria",-23.7
"2735","Moldova","Road.Injuries",-23.6
"3098","Madagascar","Nutritional.Deficiencies",-23.58
"5564","Botswana","Diarrheal.Diseases",-23.57
"4577","Equatorial Guinea","Lower.Respiratory.Infections",-23.5
"3770","Indonesia","Neonatal.Disorders",-23.43
"2092","Pakistan","Diarrheal.Diseases",-23.36
"3274","Lebanon","Neonatal.Disorders",-23.26
"5392","Cambodia","Nutritional.Deficiencies",-23.09
"3077","Madagascar","Protein.Energy.Malnutrition",-22.89
"4696","Dominican Republic","Diarrheal.Diseases",-22.76
"5041","Cook Islands","Neonatal.Disorders",-22.71
"981","Sudan","Lower.Respiratory.Infections",-22.69
"5371","Cambodia","Protein.Energy.Malnutrition",-22.45
"4546","Eritrea","Lower.Respiratory.Infections",-22.35
"3708","Iraq","Neonatal.Disorders",-22.24
"418","Uganda","Diarrheal.Diseases",-22.15
"3303","Latvia","Self.harm",-22.14
"2774","Micronesia","Diarrheal.Diseases",-22.09
"1791","Puerto Rico","HIV.AIDS",-22.02
